Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Id,Customer Segment,Customer State,Department Id,Department Name,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
PAYMENT,3,4,59.04000092,236.1600037,Advance shipping,0,46,Indoor/Outdoor Games,Wheeling,EE. UU.,5126,Consumer,WV,7,Fan Shop,LATAM,Tegucigalpa,Honduras,5126,1/1/2015 17:52,52,1014,13.73999977,0.059999999,128,49.97999954,0.25,5,249.8999939,236.1600037,59.04000092,Central America,Francisco Morazán,PENDING_PAYMENT,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,1/4/2015 17:52,Standard Class
DEBIT,2,4,80.90000153,278.980011,Advance shipping,0,43,Camping & Hiking,Anaheim,EE. UU.,4518,Home Office,CA,7,Fan Shop,Pacific Asia,Sydney,Australia,4518,1/1/2016 7:22,25026,957,21.0,0.07,62716,299.980011,0.289999992,1,299.980011,278.980011,80.90000153,Oceania,Nueva Gales del Sur,ON_HOLD,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,1/3/2016 7:22,Standard Class
DEBIT,3,4,126.2300034,479.9500122,Advance shipping,0,9,Cardio Equipment,Sacramento,EE. UU.,11375,Corporate,CA,3,Footwear,Europe,Arkhangelsk,Rusia,11375,1/1/2017 3:21,50087,191,20.0,0.039999999,125216,99.98999786,0.25999999,5,499.9500122,479.9500122,126.2300034,Eastern Europe,Arjánguelsk,COMPLETE,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,1/4/2017 3:21,Standard Class
TRANSFER,5,4,-122.7099991,159.9900055,Late delivery,1,48,Water Sports,Miami,EE. UU.,11128,Consumer,FL,7,Fan Shop,Pacific Asia,Riyadh,Arabia Saudí,11128,1/10/2017 14:01,50734,1073,40.0,0.200000003,126791,199.9900055,-0.769999981,1,199.9900055,159.9900055,-122.7099991,West Asia,Riad,PROCESSING,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,1/15/2017 14:01,Standard Class
PAYMENT,2,1,16.20000076,45.0,Late delivery,1,24,Women's Apparel,Hesperia,EE. UU.,4688,Corporate,CA,5,Golf,LATAM,Puebla,México,4688,1/11/2015 8:44,711,502,5.0,0.100000001,1755,50.0,0.360000014,1,50.0,45.0,16.20000076,Central America,Puebla,PENDING_PAYMENT,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,1/13/2015 8:44,First Class
DEBIT,4,4,-111.9899979,159.9900055,Shipping on time,0,48,Water Sports,Jamaica,EE. UU.,5803,Corporate,NY,7,Fan Shop,Pacific Asia,Palembang,Indonesia,5803,1/11/2016 13:18,25728,1073,40.0,0.200000003,64433,199.9900055,-0.699999988,1,199.9900055,159.9900055,-111.9899979,Southeast Asia,Sumatra Meridional,COMPLETE,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,1/15/2016 13:18,Standard Class
CASH,5,2,70.98000336,272.980011,Late delivery,1,43,Camping & Hiking,Germantown,EE. UU.,10263,Consumer,MD,7,Fan Shop,Pacific Asia,Manila,Filipinas,10263,1/12/2016 1:55,25764,957,27.0,0.090000004,64512,299.980011,0.25999999,1,299.980011,272.980011,70.98000336,Southeast Asia,Capital Nacional,CLOSED,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,1/17/2016 1:55,Second Class
TRANSFER,2,1,-32.0,399.980011,Late delivery,1,45,Fishing,Caguas,Puerto Rico,12285,Consumer,PR,7,Fan Shop,Europe,Zlatoust,Rusia,12285,1/12/2017 11:13,50863,1004,0.0,0.0,127133,399.980011,-0.079999998,1,399.980011,399.980011,-32.0,Eastern Europe,Cheliábinsk,PENDING,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,1/14/2017 11:13,First Class
DEBIT,4,4,25.5,254.9799957,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,11653,Consumer,PR,7,Fan Shop,Europe,Panevezys,Lituania,11653,1/12/2017 5:58,50848,957,45.0,0.150000006,127093,299.980011,0.100000001,1,299.980011,254.9799957,25.5,Northern Europe,Panevezys,ON_HOLD,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,1/16/2017 5:58,Standard Class
DEBIT,5,4,-59.97999954,39.97999954,Late delivery,1,46,Indoor/Outdoor Games,Phoenix,EE. UU.,4909,Consumer,AZ,7,Fan Shop,LATAM,Huehuetenango,Guatemala,4909,1/13/2015 21:21,884,1014,10.0,0.200000003,2210,49.97999954,-1.5,1,49.97999954,39.97999954,-59.97999954,Central America,Huehuetenango,COMPLETE,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,1/18/2015 21:21,Standard Class
DEBIT,6,4,10.09000015,126.0899963,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,12382,Consumer,PR,4,Apparel,Pacific Asia,Ho Chi Minh City,Vietnam,12382,1/13/2016 1:02,25830,403,3.900000095,0.029999999,64662,129.9900055,0.079999998,1,129.9900055,126.0899963,10.09000015,Southeast Asia,Ciudad Ho Chi Minh,COMPLETE,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,1/19/2016 1:02,Standard Class
DEBIT,5,2,26.52000046,54.11999893,Late delivery,1,7,Hockey,Caguas,Puerto Rico,10890,Consumer,PR,2,Fitness,LATAM,Zapopan,México,10890,1/14/2015 9:36,919,135,11.88000011,0.180000007,2293,22.0,0.49000001,3,66.0,54.11999893,26.52000046,Central America,Jalisco,COMPLETE,135,7,,http://images.acmesports.sports/Nike+Dri-FIT+Crew+Sock+6+Pack,Nike Dri-FIT Crew Sock 6 Pack,22.0,0,1/19/2015 9:36,Second Class
TRANSFER,1,0,79.94000244,245.9799957,Late delivery,1,43,Camping & Hiking,Hilliard,EE. UU.,5445,Consumer,OH,7,Fan Shop,Africa,Kano,Nigeria,5445,1/14/2017 20:40,51027,957,54.0,0.180000007,127529,299.980011,0.330000013,1,299.980011,245.9799957,79.94000244,West Africa,Kano,PROCESSING,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,1/15/2017 8:40,Same Day
DEBIT,3,2,45.0,359.980011,Late delivery,1,45,Fishing,Philadelphia,EE. UU.,10250,Consumer,PA,7,Fan Shop,Pacific Asia,Estambul,Turquía,10250,1/14/2017 22:25,51032,1004,40.0,0.100000001,127543,399.980011,0.129999995,1,399.980011,359.980011,45.0,West Asia,Estambul,COMPLETE,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,1/17/2017 22:25,Second Class
PAYMENT,4,4,3.980000019,10.96000004,Shipping on time,0,74,Toys,Caguas,Puerto Rico,19571,Home Office,PR,7,Fan Shop,Pacific Asia,Bilaspur,India,19571,1/14/2018 16:08,76018,1361,0.579999983,0.050000001,179333,11.53999996,0.360000014,1,11.53999996,10.96000004,3.980000019,South Asia,Uttar Pradesh,PAYMENT_REVIEW,1361,74,,http://images.acmesports.sports/Toys ,Toys ,11.53999996,0,1/18/2018 16:08,Standard Class
